Cell_type	LRC	Columella	QC	Epidermis	Cortex	Endodermis	Stele
AACCACT_WR5	0.749595623	0.34455086	1.794236657	-0.627462627	-0.77539842	-0.71304639	-0.772475703
AACCACT_WR6	2.124112138	0.318913445	-0.140961671	-0.408859769	-0.612913375	-0.594481903	-0.685808865
ABRE_ABI1	0.474641881	0.285912355	1.959800784	-0.669071543	-0.719360183	-0.667455939	-0.664467355
ABRE_RD29A	0.469874606	0.498734255	1.873243861	-0.684758211	-0.731470811	-0.68736966	-0.73825404
L07_828	1.81288356	0.78713128	0.0164083	-0.143123549	-0.680091452	-0.859175031	-0.934033109
L09_216	1.523720532	1.249536132	-0.048924076	-0.263254629	-0.69680607	-0.841073295	-0.923198594
L09_315	1.954706181	0.604425954	-0.195890069	-0.071655947	-0.65263439	-0.794252017	-0.844699712
L12_713	2.165964948	-0.31892787	-0.33116199	0.235364398	-0.481391902	-0.591211151	-0.678636433
L12_899	0.922395279	1.768675358	0.134975804	-0.644434322	-0.728475353	-0.748713292	-0.704423475
L13_230	1.30314616	0.781776753	1.013945923	-0.407744787	-0.715824327	-0.859228514	-1.116071207
L13_496	1.638715678	1.001088652	0.247120755	-0.427881596	-0.65378854	-0.827232056	-0.978022894
L26_535	1.347748138	1.2906441	0.335345961	-0.367898667	-0.802713245	-0.89798108	-0.905145208
L26_619	1.322387303	-0.078580508	1.384548259	-0.024773228	-0.674271455	-0.887947678	-1.041362692
MYC_WR10	0.97683451	0.410352693	1.537861689	-0.980088768	-0.635183967	-0.27370769	-1.036068467
MYC_WR9	1.47203656	-1.683632446	0.777779014	-0.404660621	0.298398915	-0.09768454	-0.362236882
R08_367	1.654935408	1.086073199	-0.267462451	-0.046527849	-0.666171701	-0.797183658	-0.963662949
R08_542	2.084793499	0.223444721	-0.124477371	-0.01736831	-0.611653333	-0.726450803	-0.828288403
R12_540	0.604241852	-1.159217589	0.039213837	-0.612322451	1.606401489	0.541773717	-1.020090855
R12_892	0.815201473	1.38009998	0.938532549	-0.556531679	-0.836388583	-0.982848069	-0.75806567
R15_140	1.595785306	1.01809712	0.23829562	-0.228772866	-0.780554145	-0.905442036	-0.937409
R21_966	0.769881183	1.334491749	1.052302382	-0.687099509	-0.820071814	-0.741028623	-0.908475369
R21_966B	-0.083085452	0.168750752	2.16535151	-0.490603858	-0.557588877	-0.62241744	-0.580406633
Telo_WR7	0.505748101	-0.111310296	2.032096232	-0.331667081	-0.66814655	-0.594563409	-0.832156997
Wbox_WR1	2.084535283	0.456971669	-0.380252838	-0.228549335	-0.604659446	-0.635762455	-0.692282878
Wbox_WR2	2.16397755	0.133789707	-0.151032116	-0.250063827	-0.548502743	-0.627585092	-0.720583479
