"id","x","y","tissue","value"
11,482,-542,"epidermis",1
11,484,-531,"epidermis",1
11,490,-528,"epidermis",1
11,497,-528,"epidermis",1
11,504,-528,"epidermis",1
11,511,-528,"epidermis",1
11,525,-529,"epidermis",1
11,525,-536,"epidermis",1
11,528,-550,"epidermis",1
11,523,-561,"epidermis",1
11,516,-561,"epidermis",1
11,509,-562,"epidermis",1
11,502,-564,"epidermis",1
11,496,-565,"epidermis",1
11,483,-568,"epidermis",1
11,480,-555,"epidermis",1
11,481,-548,"epidermis",1
13,482,-639,"epidermis",1
13,485,-625,"epidermis",1
13,492,-624,"epidermis",1
13,500,-624,"epidermis",1
13,507,-624,"epidermis",1
13,523,-627,"epidermis",1
13,525,-632,"epidermis",1
13,525,-638,"epidermis",1
13,525,-645,"epidermis",1
13,524,-658,"epidermis",1
13,517,-658,"epidermis",1
13,510,-659,"epidermis",1
13,503,-659,"epidermis",1
13,497,-660,"epidermis",1
13,484,-663,"epidermis",1
13,482,-655,"epidermis",1
13,482,-647,"epidermis",1
18,486,-308,"epidermis",1
18,487,-300,"epidermis",1
18,487,-292,"epidermis",1
18,490,-278,"epidermis",1
18,497,-278,"epidermis",1
18,505,-278,"epidermis",1
18,512,-278,"epidermis",1
18,528,-278,"epidermis",1
18,528,-284,"epidermis",1
18,529,-291,"epidermis",1
18,529,-298,"epidermis",1
18,530,-312,"epidermis",1
18,526,-318,"epidermis",1
18,526,-325,"epidermis",1
18,525,-333,"epidermis",1
18,523,-348,"epidermis",1
18,515,-349,"epidermis",1
18,507,-350,"epidermis",1
18,499,-352,"epidermis",1
18,484,-354,"epidermis",1
18,484,-346,"epidermis",1
18,484,-338,"epidermis",1
18,485,-331,"epidermis",1
18,485,-323,"epidermis",1
18,486,-315,"epidermis",1
26,498,-719,"epidermis",1
26,505,-719,"epidermis",1
26,512,-718,"epidermis",1
26,519,-717,"epidermis",1
26,526,-717,"epidermis",1
26,540,-716,"epidermis",1
26,544,-726,"epidermis",1
26,543,-731,"epidermis",1
26,535,-730,"epidermis",1
26,529,-731,"epidermis",1
26,522,-732,"epidermis",1
26,515,-733,"epidermis",1
26,501,-733,"epidermis",1
54,527,-897,"epidermis",1
54,533,-897,"epidermis",1
54,540,-896,"epidermis",1
54,546,-896,"epidermis",1
54,560,-896,"epidermis",1
54,563,-900,"epidermis",1
54,560,-912,"epidermis",1
54,552,-911,"epidermis",1
54,545,-912,"epidermis",1
54,532,-915,"epidermis",1
54,530,-909,"epidermis",1
485,774,-403,"epidermis",1
485,770,-391,"epidermis",1
485,773,-384,"epidermis",1
485,780,-383,"epidermis",1
485,788,-383,"epidermis",1
485,795,-383,"epidermis",1
485,811,-384,"epidermis",1
485,813,-391,"epidermis",1
485,813,-399,"epidermis",1
485,813,-407,"epidermis",1
485,813,-414,"epidermis",1
485,813,-422,"epidermis",1
485,811,-438,"epidermis",1
485,803,-437,"epidermis",1
485,796,-436,"epidermis",1
485,788,-435,"epidermis",1
485,774,-433,"epidermis",1
485,770,-423,"epidermis",1
485,771,-416,"epidermis",1
485,772,-409,"epidermis",1
8,483,-568,"epidermis",1
8,489,-566,"epidermis",1
8,496,-565,"epidermis",1
8,502,-564,"epidermis",1
8,509,-562,"epidermis",1
8,523,-561,"epidermis",1
8,528,-572,"epidermis",1
8,525,-578,"epidermis",1
8,525,-591,"epidermis",1
8,517,-591,"epidermis",1
8,510,-591,"epidermis",1
8,503,-591,"epidermis",1
8,496,-591,"epidermis",1
8,483,-592,"epidermis",1
8,481,-586,"epidermis",1
8,481,-579,"epidermis",1
414,713,-942,"epidermis",1
414,718,-936,"epidermis",1
414,725,-936,"epidermis",1
414,739,-936,"epidermis",1
414,734,-941,"epidermis",1
414,731,-955,"epidermis",1
414,724,-956,"epidermis",1
414,712,-959,"epidermis",1
414,712,-953,"epidermis",1
23,498,-708,"epidermis",1
23,504,-703,"epidermis",1
23,511,-700,"epidermis",1
23,527,-697,"epidermis",1
23,540,-703,"epidermis",1
23,540,-716,"epidermis",1
23,532,-716,"epidermis",1
23,526,-717,"epidermis",1
23,519,-717,"epidermis",1
23,512,-718,"epidermis",1
23,498,-719,"epidermis",1
23,493,-714,"epidermis",1
34,504,-770,"epidermis",1
34,511,-770,"epidermis",1
34,518,-770,"epidermis",1
34,525,-770,"epidermis",1
34,532,-770,"epidermis",1
34,546,-770,"epidermis",1
34,549,-774,"epidermis",1
34,546,-783,"epidermis",1
34,539,-783,"epidermis",1
34,532,-782,"epidermis",1
34,525,-783,"epidermis",1
